file,source
data/DoS-Protection-for-Reliably-Authenticated-Broadcast-Carl-A.-Gunter.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/DoS-Protection-for-Reliably-Authenticated-Broadcast-Carl-A.-Gunter.pdf
data/Distillation-Codes-and-Applications-to-DoS-Resistant-Multicast-Authentication-Chris-Karlof.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Distillation-Codes-and-Applications-to-DoS-Resistant-Multicast-Authentication-Chris-Karlof.pdf
data/Efficient-Context-Sensitive-Intrusion-Detection-Jonathon-T.-Giffin.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Efficient-Context-Sensitive-Intrusion-Detection-Jonathon-T.-Giffin.pdf
data/Global-Intrusion-Detection-in-the-DOMINO-Overlay-System-Vinod-Yegneswaran_0.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Global-Intrusion-Detection-in-the-DOMINO-Overlay-System-Vinod-Yegneswaran_0.pdf
data/Building-Attack-Scenarios-through-Integration-of-Complementary-Alert-Correlation-Method-Peng-Ning.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Building-Attack-Scenarios-through-Integration-of-Complementary-Alert-Correlation-Method-Peng-Ning.pdf
data/Client-Side-Defense-Against-Web-Based-Identity-Theft-Neil-Chou.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Client-Side-Defense-Against-Web-Based-Identity-Theft-Neil-Chou.pdf
data/Using-Directional-Antennas-to-Prevent-Wormhole-Attacks-Lingxuan-Hu.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Using-Directional-Antennas-to-Prevent-Wormhole-Attacks-Lingxuan-Hu.pdf
data/An-Effective-Architecture-and-Algorithm-for-Detecting-Worms-with-Various-Scan-Jiang-Wu.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/An-Effective-Architecture-and-Algorithm-for-Detecting-Worms-with-Various-Scan-Jiang-Wu.pdf
data/A-Practical-Dynamic-Buffer-Overflow-Detector-Olatunji-Ruwase.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/A-Practical-Dynamic-Buffer-Overflow-Detector-Olatunji-Ruwase.pdf
data/Chen.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Chen.pdf
data/Ostia-A-Delegating-Architecture-for-Secure-System-Call-Interposition-Tal-Garfinke.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Ostia-A-Delegating-Architecture-for-Secure-System-Call-Interposition-Tal-Garfinke.pdf
data/Authentication-and-Integrity-in-Outsourced-Databases-Einar-Mykletun.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Authentication-and-Integrity-in-Outsourced-Databases-Einar-Mykletun.pdf
data/Waters.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Waters.pdf
data/Speeding-up-Secure-Web-Transactions-Using-Elliptic-Curve-Cryptography-Vipul-Gupta.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Speeding-up-Secure-Web-Transactions-Using-Elliptic-Curve-Cryptography-Vipul-Gupta.pdf
data/Modadugu.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/Modadugu.pdf
data/The-Perils-of-Unauthenticated-Encryption-Kerberos-Version-4-Tom-Yu.pdf.pdf,https://www.ndss-symposium.org/wp-content/uploads/2017/09/The-Perils-of-Unauthenticated-Encryption-Kerberos-Version-4-Tom-Yu.pdf
